name,address,lat,lng,category,,
한마음어린이공원,서울특별시 강남구 개포동 12-3 (공중화장실),37.474817 ,127.069308 ,1,,
일원장미어린이공원,서울특별시 강남구 일원동 732-4 (공중화장실),37.473246 ,127.071224 ,1,,
수서개나리어린이공원,서울특별시 강남구 수서동723-1 (공중화장실),37.473790 ,127.070879 ,1,,
자연학습장,서울특별시 강남구 일원동 산56 (공중화장실),37.485387 ,127.075586 ,1,,
유아숲체험장,서울특별시 강남구 일원동 산52-13 (공중화장실),37.479322 ,127.071542 ,1,,
개암약수터,서울특별시 강남구 개포동 산53-40 (공중화장실),37.477549 ,127.075334 ,1,,
천의약수터,서울특별시 강남구 개포동 산 53-30 (공중화장실),37.479706 ,127.079560 ,1,,
대룡약수터,서울특별시 강남구 개포동 118-21 (공중화장실),37.482080 ,127.047681 ,1,,
구룡천약수터,서울특별시 강남구 개포동 산 53-28 (공중화장실),37.484270 ,127.050239 ,1,,
습지원약수터,서울특별시 강남구 개포동 산53-42 (공중화장실),37.487751 ,127.058902 ,1,,
옛1약수터,서울특별시 강남구 일원동 산52-13 (공중화장실),37.486003 ,127.054309 ,1,,
용두천약수터,서울특별시 강남구 개포동 192 (공중화장실),37.494092 ,127.071848 ,1,,
옥수천약수터,서울특별시 강남구 개포동 산 53-32 (공중화장실),37.500437 ,127.074835 ,1,,
불국사둘레길,서울특별시 강남구 일원동 441 (공중화장실),37.500362 ,127.080863 ,1,,
대모산숲속야생화원,서울특별시 강남구 일원동 246-13 (공중화장실),37.501717 ,127.071456 ,1,,
양재천(영동2교),서울특별시 강남구 개포동1279 (공중화장실),37.492675 ,127.099587 ,1,,
양재천(밀리미교),서울특별시 강남구 도곡동 468 (공중화장실),37.472540 ,127.119146 ,1,,
양재천(영동3교),서울특별시 강남구 개포동175 (공중화장실),37.462118 ,127.117044 ,1,,
양재천(영동4교),서울특별시 강남구 개포동648-2 (공중화장실),37.465949 ,127.100350 ,1,,
양재천(영동6교),서울특별시 강남구 대치동805 (공중화장실),37.462277 ,127.104597 ,1,,
탄천양재천방문자센터,서울특별시 강남구 대치동3-3 (공중화장실),37.503043 ,127.054130 ,1,,
탄천(탄천1교),서울특별시 강남구 일원동580-3 (공중화장실),37.509787 ,127.043218 ,1,,
탄천(탄천2교),서울특별시 강남구 대치동78-28 (공중화장실),37.494538 ,127.041832 ,1,,
탄천(광평교),서울특별시 강남구 수서동329-34 (공중화장실),37.504997 ,127.051907 ,1,,
탄천(대곡교),서울특별시 강남구 율현동94 (공중화장실),37.488117 ,127.103069 ,1,,
세곡천(세곡3교),서울특별시 강남구 세곡동54 (공중화장실),37.499146 ,127.043103 ,1,,
세곡천(세곡1교),서울특별시 강남구 세곡동618 (공중화장실),37.514501 ,127.040981 ,1,,
세곡천(세곡5교),서울특별시 강남구 세곡동526-2 (공중화장실),37.503966 ,127.042910 ,1,,
대치노인복지센터,서울특별시 강남구 역삼로69길 22 (공중화장실),37.503255 ,127.035379 ,1,,
강남시니어플라자 공중화장실,서울특별시 강남구 봉은사로 332 (공중화장실),37.499762 ,127.078659 ,1,,
역삼노인복지센터,서울특별시 강남구 도곡로27길 27 (공중화장실),37.508798 ,127.066445 ,1,,
한국마사회 선릉지사,서울특별시 강남구 테헤란로 416 (공중화장실),37.517968 ,127.047060 ,1,,
에스알,서울특별시 강남구 광평로 281 (공중화장실),37.515911 ,127.052143 ,1,,
한국부동산원,서울특별시 강남구 언주로79길13 (공중화장실),37.493888 ,127.064272 ,1,,
한국토지주택공사,서울특별시 강남구 선릉로121길12 (공중화장실),37.516320 ,127.042315 ,1,,
공무원연금관리공단,서울특별시 강남구 언주로 508 (공중화장실),37.478820 ,127.051659 ,1,,
한국콘텐츠진흥원,서울특별시 강남구 논현로 525 (공중화장실),37.483379 ,127.086483 ,1,,
한국가스안전공사,서울특별시 강남구 남부순환로 3183 (공중화장실),37.488903 ,127.104991 ,1,,
한국에너지기술평가원,서울특별시 강남구 테헤란로 114길14 (공중화장실),37.509367 ,127.067100 ,1,,
강남구청,서울특별시 강남구 학동로 426 (공중화장실),37.508316 ,127.041018 ,1,,
삼성로별관,서울특별시 강남구 삼성로 628 (공중화장실),37.513865 ,127.029322 ,1,,
강남구민회관,서울특별시 강남구 삼성로 154 (공중화장실),37.515204 ,127.033846 ,1,,
강남구보건소,서울특별시 강남구 선릉로 668 (공중화장실),37.514907 ,127.060546 ,1,,
개포4동주민센터,서울특별시 강남구 개포로38길 12 (공중화장실),37.511292 ,127.048075 ,1,,
일원본동주민센터,서울특별시 강남구 광평로 126 (공중화장실),37.520798 ,127.054276 ,1,,
수서동주민센터,서울특별시 강남구 광평로 301-4 (공중화장실),37.518371 ,127.024133 ,1,,
강남 경찰서,서울특별시 강남구 테헤란로 114길11 (공중화장실),37.529347 ,127.035614 ,1,,
역삼지구대,서울특별시 강남구 언주로 108길20 (공중화장실),37.493549 ,127.077144 ,1,,
논현1파출소,서울특별시 강남구 학동로169 (공중화장실),37.491961 ,127.057095 ,1,,
논현2파출소,서울특별시 강남구 학동로227 (공중화장실),37.501333 ,127.043718 ,1,,
삼성1파출소,서울특별시 강남구 영동대로112길 4 (공중화장실),37.479778 ,127.051168 ,1,,
삼성2파출소,서울특별시 강남구 봉은사로 440 (공중화장실),37.492416 ,127.083374 ,1,,
청담파출소,서울특별시 강남구 학동로95길19 (공중화장실),37.465249 ,127.110104 ,1,,
신사파출소,서울특별시 강남구 도산대로 143 (공중화장실),37.465097 ,127.107177 ,1,,
압구정 파출소,서울특별시 강남구 압구정로 311 (공중화장실),37.530617 ,127.030652 ,1,,
수서경찰서,서울특별시 강남구 개포로617 (공중화장실),37.508627 ,127.067415 ,1,,
대치지구대,서울특별시 강남구 남부순환로 2907 (공중화장실),37.492151 ,127.073679 ,1,,
